Actual_Train,Predicted_Train
49.38,29.905489
20.9,13.389495
15.96,13.273312
27.59,17.97509
6.56,9.715642
20.91,22.583662
17.37,13.391945
10.46,24.188812
43.71,32.256355
62.63,42.491734
11.98,16.857737
15.15,17.899446
47.89,34.884037
50.95,42.942623
10.45,17.794716
22.45,26.461788
23.22,19.16938
33.45,29.192856
50.89,45.509026
20.68,27.042946
11.58,16.70494
6.42,14.40458
64.87,43.04542
10.81,14.7587805
47.4,30.717554
13.37,16.819248
25.04,28.60416
46.88,29.85957
48.25,42.93553
26.8,16.595764
50.83,13.539429
35.04,31.984955
60.97,32.945187
12.95,13.31706
13.69,16.443647
27.41,40.27513
30.33,11.039724
16.2,12.672158
21.0,22.752619
15.77,13.581581
9.88,13.760051
24.54,13.257734
34.76,19.014618
35.31,32.40809
23.22,19.16938
40.76,37.920017
64.82,31.758413
63.99,35.309963
46.78,15.833017
22.02,13.642981
68.06,48.78261
1.26,9.533773
34.47,23.511564
58.98,28.701622
62.67,46.672474
43.99,40.29021
36.33,29.279758
37.74,33.81063
29.27,11.937895
63.42,33.689484
46.54,33.07886
18.13,22.47147
14.57,17.383661
72.82,46.32064
41.9,31.009035
34.86,49.020424
65.45,50.09914
46.2,24.394947
37.83,24.261082
68.02,46.28677
10.28,15.1831
29.62,32.779575
15.92,13.463629
21.68,16.033398
13.11,12.964301
43.37,25.03006
65.73,44.92008
18.9,22.376799
36.63,32.36215
28.99,23.810394
59.08,46.36914
28.48,23.40037
23.06,33.883533
50.13,43.169594
16.33,13.490185
62.42,34.191517
36.06,31.51654
12.55,41.02831
