Actual_Train,Predicted_Train
0.74,1.0177665
1.77,3.7478323
1.89,3.8843882
1.52,2.0918698
1.21,1.1722231
0.84,1.0040269
5.19,4.8451505
1.42,1.0575087
0.82,1.075062
0.78,1.0642354
3.84,1.229254
1.91,1.5046713
0.56,1.0543694
0.71,1.0071807
1.42,1.1036189
1.18,1.1396211
2.13,1.0662413
2.99,1.3987615
0.71,1.0409386
1.11,1.1166438
1.03,1.1137838
3.66,2.968965
0.78,1.0785456
0.96,1.1376331
0.71,1.0421441
2.19,1.1208608
1.52,1.0396652
0.72,1.0321195
0.72,1.0059265
1.37,1.1353054
2.25,2.5484273
1.08,1.0322387
0.82,1.0795282
1.75,3.8377976
2.28,1.284394
0.85,1.016786
3.13,1.203029
3.07,3.646294
0.91,1.0082537
1.25,3.5434804
1.15,1.1427534
5.56,4.8629246
1.8,1.0879915
0.72,1.0868669
2.13,1.0662413
0.8,1.1214855
0.86,1.0850595
0.87,1.0434959
0.7,2.468647
1.85,1.1490517
0.83,1.0667026
1.26,1.1827195
0.91,1.0429516
0.7,1.0653934
0.77,1.1321559
0.86,1.0504771
0.96,1.0918057
0.7,1.0623634
2.15,1.0616562
0.85,1.0427163
0.68,1.0565205
0.86,1.0027171
1.64,1.9691427
0.8,1.061847
0.7,1.0661206
0.81,1.0252359
0.8,1.039082
1.38,1.0854877
1.57,1.4374056
0.79,1.0233467
1.36,1.0724311
3.41,1.0875188
2.97,4.1925206
2.33,1.1136503
2.81,4.203148
0.95,1.0334045
0.77,1.0792053
0.73,1.005593
0.89,1.0662156
1.04,1.0407844
0.8,1.102184
3.0,2.131771
0.72,1.0583706
0.72,1.0065079
3.02,2.9845996
0.75,1.0410063
3.35,1.1278892
1.12,1.0611247
