Actual_Train,Predicted_Train
49.38,53.625095
20.9,12.252395
15.96,12.212432
27.59,26.409567
6.56,10.920944
20.91,26.74569
17.37,19.269747
10.46,29.159245
43.71,37.828682
62.63,63.925648
11.98,28.595285
15.15,27.405064
47.89,38.689972
50.95,50.78679
10.45,14.43297
22.45,18.488543
23.22,20.752668
33.45,35.399185
50.89,47.03557
20.68,21.570261
11.58,15.169234
6.42,22.646412
64.87,45.058712
10.81,13.136467
47.4,54.59021
13.37,15.548629
25.04,28.282337
46.88,55.065815
48.25,50.338764
26.8,15.946151
50.83,18.79439
35.04,36.688095
60.97,51.354576
12.95,12.166846
13.69,25.425636
27.41,43.139694
30.33,11.8339205
16.2,14.732132
21.0,26.100765
15.77,12.455769
9.88,11.953231
24.54,18.844166
34.76,17.798096
35.31,26.18705
23.22,20.752668
40.76,40.08996
64.82,50.14932
63.99,55.1474
46.78,22.212017
22.02,15.795761
68.06,50.869114
1.26,11.127968
34.47,26.63126
58.98,40.52571
62.67,45.82144
43.99,33.625904
36.33,23.831585
37.74,39.337524
29.27,11.75345
63.42,46.16475
46.54,40.164078
18.13,26.948524
14.57,26.040234
72.82,51.368664
41.9,39.24773
34.86,47.37393
65.45,49.620026
46.2,23.789753
37.83,28.71779
68.02,50.297607
10.28,17.087769
29.62,19.631163
15.92,17.151047
21.68,12.9871
13.11,11.9301815
43.37,35.859566
65.73,48.51784
18.9,27.084618
36.63,38.610165
28.99,27.765814
59.08,46.949482
28.48,28.665455
23.06,40.045174
50.13,50.07558
16.33,17.189596
62.42,49.63474
36.06,52.827034
12.55,37.377243
