Actual_Train,Predicted_Train
0.74,0.9727981
1.77,2.0667672
1.89,2.111858
1.52,1.4683703
1.21,1.221451
0.84,0.94348836
5.19,2.2287498
1.42,1.0233443
0.82,1.0070829
0.78,0.9318898
3.84,1.1956589
1.91,1.4126296
0.56,0.9113753
0.71,0.7244407
1.42,1.1596655
1.18,1.0726304
2.13,1.0551393
2.99,1.267456
0.71,0.88028324
1.11,1.0394387
1.03,1.0935595
3.66,1.9961679
0.78,0.9667907
0.96,1.1172729
0.71,1.0045891
2.19,1.1033194
1.52,1.0192935
0.72,0.9702265
0.72,0.7175429
1.37,1.0956936
2.25,1.8885736
1.08,1.013243
0.82,0.96554554
1.75,2.0773814
2.28,1.2743311
0.85,0.9417825
3.13,1.2357577
3.07,2.0971081
0.91,0.9485611
1.25,2.0257635
1.15,1.1064312
5.56,2.2054813
1.8,1.0753882
0.72,0.9413612
2.13,1.0551393
0.8,0.9284712
0.86,0.98936987
0.87,0.9483969
0.7,1.8409376
1.85,1.1143451
0.83,0.9936
1.26,1.3001552
0.91,1.0174985
0.7,0.84558773
0.77,0.9559617
0.86,0.91515076
0.96,1.017539
0.7,0.8634902
2.15,1.1556658
0.85,0.9851272
0.68,0.90481305
0.86,0.9308491
1.64,1.5680614
0.8,0.90851283
0.7,0.86193144
0.81,0.86676
0.8,0.9355335
1.38,1.0096694
1.57,1.2170302
0.79,0.9793266
1.36,1.0761815
3.41,1.0572067
2.97,2.309792
2.33,1.1455343
2.81,2.1951556
0.95,0.9838176
0.77,0.97357523
0.73,0.94073105
0.89,0.98563457
1.04,1.0170455
0.8,1.0068247
3.0,1.5104923
0.72,0.9025904
0.72,0.7143197
3.02,1.933809
0.75,0.93020403
3.35,1.0082843
1.12,0.90962076
