Actual_Train,Predicted_Train
0.74,0.47715867
1.77,2.6097023
1.89,2.716914
1.52,2.0639455
1.21,1.241218
0.84,0.51936233
5.19,3.6217158
1.42,0.68453056
0.82,0.6298417
0.78,0.5582768
3.84,1.074454
1.91,1.4819305
0.56,1.0765339
0.71,0.4206549
1.42,1.2662506
1.18,0.95053357
2.13,1.0951209
2.99,1.9573985
0.71,1.113193
1.11,0.91719097
1.03,1.0885382
3.66,2.576845
0.78,1.2356144
0.96,1.148652
0.71,0.5105843
2.19,1.0811317
1.52,0.77222586
0.72,0.46614042
0.72,0.41721246
1.37,1.0961405
2.25,2.2839963
1.08,0.5854737
0.82,0.8530344
1.75,2.6599054
2.28,1.4723326
0.85,1.126305
3.13,1.2867681
3.07,2.987468
0.91,0.5384763
1.25,2.5372496
1.15,1.2107499
5.56,3.5100129
1.8,1.1281991
0.72,0.8046003
2.13,1.0951209
0.8,1.2424115
0.86,0.86336464
0.87,0.8763035
0.7,2.2398086
1.85,1.2459854
0.83,1.1540141
1.26,1.4140264
0.91,0.6244268
0.7,1.1510493
0.77,1.1959695
0.86,1.1251293
0.96,0.86341506
0.7,1.1104614
2.15,1.2204007
0.85,0.9326464
0.68,1.0899982
0.86,0.51382935
1.64,1.8193895
0.8,1.1986468
0.7,1.1255783
0.81,1.1508828
0.8,1.1809497
1.38,1.1499537
1.57,1.7985953
0.79,1.2017999
1.36,1.2312108
3.41,1.2288632
2.97,3.223157
2.33,1.1529485
2.81,2.849717
0.95,0.5372906
0.77,1.1328917
0.73,0.5222036
0.89,0.6686401
1.04,0.6169951
0.8,1.1295015
3.0,1.9369859
0.72,1.1002452
0.72,0.4192253
3.02,2.5392349
0.75,0.77410483
3.35,1.0570828
1.12,1.1785156
