Actual_Train,Predicted_Train
15.0,14.45227
24.39,22.901724
23.32,22.924494
18.44,17.637463
20.94,16.206537
16.78,14.073922
22.71,19.235971
20.66,14.233109
17.46,14.708484
16.72,14.307023
23.83,16.867327
19.28,16.991114
15.28,13.475514
15.49,14.404361
20.44,15.934974
19.39,15.19472
19.94,15.99717
19.88,16.792788
15.89,14.915507
19.15,15.525565
18.72,15.626337
23.04,17.923944
15.44,16.411093
18.69,15.350717
15.06,14.312418
20.58,15.554636
19.78,15.667211
15.0,14.310117
15.72,14.342885
20.67,15.348953
24.8,17.970045
18.41,14.824534
15.5,15.581565
24.61,23.04296
24.1,17.404781
17.89,16.083376
21.59,16.159662
25.37,20.585722
17.11,14.018443
24.39,22.372858
19.92,15.548057
25.32,19.357382
18.51,16.446125
17.31,15.59173
19.94,15.99717
15.06,15.26043
15.55,15.654077
15.51,17.19886
14.5,17.191805
20.9,16.883297
15.61,14.435983
20.89,15.473765
16.62,14.111932
15.35,13.890563
15.68,15.385566
16.85,15.846639
19.39,15.599094
15.39,13.671393
20.89,17.53708
16.44,16.019178
15.16,13.52494
17.39,14.097386
19.44,16.948801
15.86,14.802495
15.06,13.688856
16.9,15.909419
15.67,15.17353
18.4,17.166649
19.02,16.745647
15.67,15.5402975
19.94,15.910307
19.08,16.458565
25.65,20.970247
19.28,15.228952
23.56,23.669744
17.52,14.28849
15.56,14.830304
17.61,14.173528
17.44,15.226195
17.69,14.168695
15.67,15.948724
24.66,19.120874
16.18,13.677941
15.7,14.578052
26.03,20.124718
15.48,16.805058
18.56,13.733849
20.67,16.07992
