Actual_Train,Predicted_Train
15.0,14.022827
24.39,20.276537
23.32,20.386265
18.44,15.729607
20.94,15.254101
16.78,14.3504505
22.71,18.103191
20.66,16.035671
17.46,14.973724
16.72,15.073465
23.83,18.553682
19.28,14.237586
15.28,13.0797
15.49,14.088683
20.44,16.887402
19.39,15.730181
19.94,17.017675
19.88,16.204678
15.89,13.377242
19.15,15.328979
18.72,15.801124
23.04,18.001434
15.44,15.37042
18.69,16.164179
15.06,14.276186
20.58,16.135298
19.78,15.912035
15.0,13.964378
15.72,14.006857
20.67,16.523684
24.8,17.38523
18.41,15.27831
15.5,14.646469
24.61,20.325823
24.1,17.952253
17.89,14.027548
21.59,16.085627
25.37,20.013006
17.11,14.763266
24.39,20.066378
19.92,15.046501
25.32,17.619677
18.51,15.921506
17.31,14.987275
19.94,17.017675
15.06,15.273641
15.55,14.614118
15.51,14.86981
14.5,16.993345
20.9,16.674858
15.61,13.965778
20.89,17.493902
16.62,15.126669
15.35,14.961435
15.68,15.294628
16.85,14.146796
19.39,15.579135
15.39,13.291718
20.89,15.994963
16.44,15.251786
15.16,13.439736
17.39,14.234917
19.44,15.471689
15.86,13.732398
15.06,13.751002
16.9,13.696741
15.67,14.122165
18.4,15.488455
19.02,16.424568
15.67,15.754973
19.94,16.61478
19.08,15.488583
25.65,20.707119
19.28,16.470098
23.56,20.696533
17.52,14.668328
15.56,15.019807
17.61,14.3973875
17.44,14.627922
17.69,15.253094
15.67,14.787874
24.66,17.912691
16.18,13.798813
15.7,13.4441395
26.03,20.1594
15.48,14.860537
18.56,15.362132
20.67,14.421809
