Actual_Train,Predicted_Train
0.74,0.7337338
1.77,1.8404098
1.89,1.8750478
1.52,1.7629422
1.21,1.3386729
0.84,0.7757431
5.19,2.6317313
1.42,0.86160326
0.82,0.8481127
0.78,0.75064826
3.84,1.3216251
1.91,1.3540088
0.56,0.5763767
0.71,0.62535167
1.42,1.1074371
1.18,0.9764463
2.13,1.0522562
2.99,1.8743348
0.71,0.48538047
1.11,0.9851469
1.03,1.066642
3.66,2.1202204
0.78,0.8644575
0.96,1.1957874
0.71,0.7487515
2.19,0.9952173
1.52,0.935393
0.72,0.74836254
0.72,0.6269202
1.37,1.186561
2.25,1.8615304
1.08,0.7727112
0.82,0.844759
1.75,1.8478738
2.28,1.267952
0.85,0.7751112
3.13,1.2602478
3.07,2.30171
0.91,0.7899053
1.25,1.8364913
1.15,1.0972253
5.56,2.5287588
1.8,1.0411893
0.72,0.95904595
2.13,1.0522562
0.8,0.8138667
0.86,0.8327705
0.87,0.8047402
0.7,1.8331558
1.85,1.1089238
0.83,0.63632536
1.26,1.3797203
0.91,0.7976818
0.7,0.6800203
0.77,0.78482914
0.86,0.6738566
0.96,0.8946646
0.7,0.6337395
2.15,1.1759727
0.85,0.84043765
0.68,0.57478654
0.86,0.77294326
1.64,1.578975
0.8,0.7301755
0.7,0.6345299
0.81,0.60658336
0.8,0.63913256
1.38,0.9738638
1.57,1.5619677
0.79,0.8248563
1.36,0.98649174
3.41,1.1561301
2.97,2.4626095
2.33,1.2343596
2.81,1.8996601
0.95,0.8256
0.77,0.6877041
0.73,0.77846843
0.89,0.92209387
1.04,0.81647164
0.8,0.7884116
3.0,1.6066667
0.72,0.60453844
0.72,0.5893517
3.02,2.3044536
0.75,0.76657534
3.35,1.0713962
1.12,0.81945956
