Actual_Train,Predicted_Train
0.74,0.6819323
1.77,2.2830534
1.89,2.335851
1.52,2.3622437
1.21,1.7886109
0.84,0.65937287
5.19,4.0292335
1.42,0.742697
0.82,0.7131237
0.78,0.7161314
3.84,1.1356771
1.91,1.4882532
0.56,0.7089768
0.71,0.66502106
1.42,1.4023969
1.18,1.1142848
2.13,1.2130827
2.99,1.7171404
0.71,0.8004716
1.11,1.0468746
1.03,1.5260671
3.66,2.4972749
0.78,1.4278672
0.96,1.5545285
0.71,0.6832765
2.19,1.5030731
1.52,0.8419064
0.72,0.68670696
0.72,0.6662382
1.37,1.4127383
2.25,1.8181531
1.08,0.68554676
0.82,0.78075355
1.75,2.3383846
2.28,1.1586989
0.85,0.69703376
3.13,1.7447861
3.07,2.4407969
0.91,0.6642923
1.25,2.1006804
1.15,1.6312629
5.56,4.065815
1.8,1.5146916
0.72,1.094446
2.13,1.2130827
0.8,0.9945802
0.86,0.8023467
0.87,0.69509274
0.7,1.6773852
1.85,1.6058582
0.83,0.73066
1.26,1.8452349
0.91,0.6972202
0.7,0.769429
0.77,1.1416838
0.86,0.7195638
0.96,1.0570301
0.7,0.7068653
2.15,1.7358824
0.85,0.7672989
0.68,0.7162016
0.86,0.65819764
1.64,1.8565289
0.8,0.77413636
0.7,0.73319423
0.81,1.0189
0.8,0.83050877
1.38,1.1736503
1.57,1.7159762
0.79,1.4072013
1.36,1.364708
3.41,1.4155556
2.97,3.0578325
2.33,1.4753002
2.81,2.5713227
0.95,0.688383
0.77,0.8134158
0.73,0.65948385
0.89,0.84685004
1.04,0.68546003
0.8,0.9333048
3.0,2.0508764
0.72,0.72347105
0.72,0.6720642
3.02,2.1001065
0.75,0.70180446
3.35,1.0964575
1.12,0.7648541
