Actual_Train,Predicted_Train
0.14,0.17961785
0.44,0.38609684
0.28,0.46386886
5.01,9.907045
20.23,14.22961
0.14,0.18499506
2.38,8.603399
13.34,0.4009614
0.14,0.21901768
0.13,0.117650434
2.14,0.91808635
11.4,10.5921755
0.13,0.3563856
0.14,0.10258338
7.06,11.688475
0.15,8.804887
1.11,3.490743
7.64,6.51865
0.13,0.48108983
0.2,6.577659
13.45,14.3623905
3.37,9.424107
0.13,9.709823
13.2,14.261155
0.14,0.20686018
0.42,13.216493
2.08,1.3251796
0.14,0.1959287
0.14,0.102358654
16.58,10.528315
0.22,9.848982
0.14,0.15325333
0.13,0.6086834
0.22,0.38500455
1.9,0.48240805
0.14,0.13403223
7.43,14.356538
15.23,11.139317
0.14,0.19012836
0.4,0.4361393
20.05,15.196089
2.15,8.594835
10.49,12.008166
0.14,0.8088303
1.11,3.490743
0.14,2.7844694
0.13,0.7775869
0.13,0.106448576
0.13,10.112864
1.11,12.850027
0.13,0.30936143
21.66,13.563538
0.14,0.18576229
0.13,0.32352397
0.13,4.4339843
0.14,0.075093985
1.8,1.3391638
0.13,0.3526193
13.45,14.765907
0.13,0.28285792
0.13,0.36364686
0.14,0.19016084
12.31,9.908817
0.13,0.39092678
0.13,0.34123874
0.13,1.885009
0.13,1.112438
1.29,4.7302265
8.62,7.4228425
0.13,9.129415
2.15,7.268693
16.11,10.127541
5.02,8.714294
4.38,13.54349
0.14,0.45684922
0.14,0.15996298
0.13,0.84290296
0.14,0.18792751
0.14,0.26106513
0.14,0.1689095
0.13,1.0247049
1.22,6.9679403
0.13,0.28250605
0.14,0.11591661
7.74,10.438055
0.13,0.2048862
10.69,2.1410415
0.28,0.116020784
