Actual_Train,Predicted_Train
0.14,0.46262056
0.44,0.17250307
0.28,0.19820768
5.01,10.1401415
20.23,20.894787
0.14,0.23329106
2.38,10.395042
13.34,2.9984477
0.14,1.5861019
0.13,0.46151888
2.14,1.7027287
11.4,10.113666
0.13,0.3901912
0.14,0.2758265
7.06,9.596406
0.15,5.8946033
1.11,3.9059346
7.64,2.8515565
0.13,0.28111136
0.2,4.8025403
13.45,15.008819
3.37,10.568327
0.13,5.3806357
13.2,17.975204
0.14,0.79627335
0.42,11.4804125
2.08,3.9841893
0.14,0.41966873
0.14,0.26786566
16.58,10.94539
0.22,10.586978
0.14,0.5230558
0.13,1.0027307
0.22,0.17484373
1.9,0.48942783
0.14,0.22021031
7.43,18.859379
15.23,11.382911
0.14,0.24986827
0.4,0.19965917
20.05,17.6069
2.15,10.66892
10.49,12.663441
0.14,5.671344
1.11,3.9059346
0.14,0.5172499
0.13,0.9577963
0.13,0.23082638
0.13,10.502609
1.11,11.942817
0.13,0.31117994
21.66,21.249483
0.14,0.9116426
0.13,0.39546183
0.13,2.8915327
0.14,0.22281471
1.8,5.4856424
0.13,0.41417098
13.45,13.009584
0.13,0.5646266
0.13,0.37800127
0.14,0.22143993
12.31,10.296414
0.13,0.23458397
0.13,0.4122895
0.13,0.7358196
0.13,0.42580265
1.29,5.891233
8.62,7.2989926
0.13,3.4898522
2.15,7.234546
16.11,11.0376835
5.02,10.031745
4.38,14.348922
0.14,0.1768893
0.14,0.629332
0.13,0.5235675
0.14,0.22902116
0.14,2.2685359
0.14,0.7114284
0.13,0.32540324
1.22,5.917766
0.13,0.39364758
0.14,0.19060118
7.74,10.564532
0.13,0.5094823
10.69,4.6772704
0.28,0.16349092
