Actual_Train,Predicted_Train
15.0,16.489677
24.39,21.329636
23.32,21.41397
18.44,22.055264
20.94,18.347942
16.78,16.392649
22.71,24.09372
20.66,16.513752
17.46,16.796768
16.72,16.716684
23.83,18.536697
19.28,21.62254
15.28,16.693556
15.49,16.388664
20.44,18.77878
19.39,17.285774
19.94,18.31532
19.88,19.04592
15.89,16.98006
19.15,17.121193
18.72,18.488659
23.04,22.32087
15.44,18.138435
18.69,18.314268
15.06,16.60643
20.58,18.498138
19.78,16.727211
15.0,16.520452
15.72,16.359623
20.67,18.416327
24.8,20.873297
18.41,16.78486
15.5,17.481361
24.61,21.383766
24.1,19.835703
17.89,17.239359
21.59,18.449821
25.37,21.97439
17.11,16.528694
24.39,21.128813
19.92,18.603178
25.32,23.849655
18.51,18.316662
17.31,17.117767
19.94,18.31532
15.06,17.77212
15.55,17.60914
15.51,17.150423
14.5,21.149239
20.9,18.321661
15.61,17.040497
20.89,19.121704
16.62,16.419353
15.35,17.011158
15.68,17.60109
16.85,17.34776
19.39,17.028383
15.39,16.721188
20.89,18.343039
16.44,17.637733
15.16,16.704777
17.39,16.368792
19.44,22.152157
15.86,17.047743
15.06,16.831306
16.9,17.335873
15.67,17.238014
18.4,18.037067
19.02,19.106556
15.67,18.278675
19.94,18.264507
19.08,17.515682
25.65,23.581753
19.28,18.414005
23.56,21.663239
17.52,16.12326
15.56,17.343996
17.61,16.438215
17.44,16.620445
17.69,16.432907
15.67,17.42397
24.66,21.567093
16.18,16.790068
15.7,16.37267
26.03,21.829401
15.48,16.942768
18.56,17.433388
20.67,17.273314
