Actual_Train,Predicted_Train
0.14,0.19559072
0.44,-0.017717857
0.28,0.016854692
5.01,6.264459
20.23,17.821768
0.14,0.11113067
2.38,5.4629197
13.34,0.8124271
0.14,0.5121315
0.13,0.33626705
2.14,1.0039873
11.4,6.9376216
0.13,-0.2484759
0.14,0.18457854
7.06,6.4554496
0.15,3.2797387
1.11,1.0615394
7.64,4.510044
0.13,-0.062612765
0.2,2.328105
13.45,11.053247
3.37,5.5104995
0.13,2.6276102
13.2,15.776548
0.14,0.27987602
0.42,7.4159875
2.08,1.2195263
0.14,0.20046581
0.14,0.18181966
16.58,6.432525
0.22,5.619489
0.14,0.30195946
0.13,0.2504906
0.22,-0.0144771375
1.9,0.22057523
0.14,-0.10715212
7.43,15.597667
15.23,5.1401463
0.14,0.13341185
0.4,-0.0040860884
20.05,13.0581045
2.15,5.8923674
10.49,8.945247
0.14,2.2810163
1.11,1.0615394
0.14,0.76040703
0.13,0.18123187
0.13,0.0701953
0.13,5.4101815
1.11,9.198393
0.13,-0.15422991
21.66,17.625418
0.14,0.35720032
0.13,-0.2699843
0.13,0.66854304
0.14,-0.15004912
1.8,1.9994717
0.13,-0.29028714
13.45,15.229711
0.13,0.18246727
0.13,-0.24042293
0.14,0.10078637
12.31,6.5718455
0.13,-0.2035877
0.13,-0.29462564
0.13,0.6128635
0.13,-0.035199787
1.29,2.3528178
8.62,4.916624
0.13,1.7101371
2.15,3.0951858
16.11,8.953864
5.02,6.5071073
4.38,9.542949
0.14,0.014038425
0.14,0.30433008
0.13,0.24017756
0.14,0.1150312
0.14,0.85031587
0.14,0.33803013
0.13,0.06729725
1.22,2.4913764
0.13,-0.27390584
0.14,0.19500028
7.74,5.733408
0.13,0.18098511
10.69,2.1408932
0.28,-0.23534228
