Actual_Train,Predicted_Train
0.14,0.23893806
0.44,6.884296
0.28,7.0705223
5.01,4.657297
20.23,13.253131
0.14,0.24357429
2.38,3.7368832
13.34,0.58534014
0.14,0.31100538
0.13,0.31958473
2.14,1.0872755
11.4,5.1061926
0.13,0.43802527
0.14,0.22504374
7.06,8.794955
0.15,5.6710057
1.11,1.0250429
7.64,4.4386444
0.13,0.35365948
0.2,3.3533459
13.45,11.763303
3.37,4.209779
0.13,7.852585
13.2,13.237821
0.14,0.24598944
0.42,10.636861
2.08,1.7765357
0.14,0.23901871
0.14,0.22782353
16.58,5.2499285
0.22,4.263857
0.14,0.2537352
0.13,0.4479591
0.22,6.861072
1.9,0.25578344
0.14,0.24167302
7.43,13.05645
15.23,5.3171587
0.14,0.24542046
0.4,6.9284425
20.05,12.438118
2.15,3.683713
10.49,9.603362
0.14,5.309127
1.11,1.0250429
0.14,1.208399
0.13,0.42717424
0.13,0.027707346
0.13,4.1982284
1.11,8.141087
0.13,0.106870644
21.66,14.036925
0.14,0.27798977
0.13,0.3752984
0.13,4.50369
0.14,0.5039681
1.8,5.342481
0.13,0.42717084
13.45,8.346723
0.13,0.20311317
0.13,0.404288
0.14,0.24344131
12.31,4.5852957
0.13,0.62102264
0.13,0.47895315
0.13,2.334384
0.13,0.6662072
1.29,2.537136
8.62,5.5777845
0.13,4.4684925
2.15,4.093639
16.11,12.755118
5.02,4.3909345
4.38,10.914346
0.14,7.187174
0.14,0.31506664
0.13,0.121907584
0.14,0.24456593
0.14,0.98863435
0.14,0.26036254
0.13,0.69808006
1.22,6.581925
0.13,0.39535022
0.14,0.24014667
7.74,5.4182377
0.13,0.2998358
10.69,1.099845
0.28,0.6881801
