Actual_Train,Predicted_Train
15.0,16.274734
24.39,25.506474
23.32,25.556126
18.44,23.223896
20.94,20.25515
16.78,16.089334
22.71,24.724195
20.66,18.507797
17.46,18.420017
16.72,18.429707
23.83,22.42853
19.28,22.311922
15.28,16.128525
15.49,18.48832
20.44,19.838211
19.39,19.351381
19.94,18.4645
19.88,21.319351
15.89,18.336796
19.15,18.557034
18.72,19.985645
23.04,23.685987
15.44,19.209106
18.69,20.876926
15.06,16.855854
20.58,19.599627
19.78,19.026852
15.0,16.400867
15.72,18.475245
20.67,19.407934
24.8,23.426582
18.41,17.4066
15.5,16.408083
24.61,25.574596
24.1,22.393997
17.89,16.309952
21.59,20.01509
25.37,24.438717
17.11,16.434668
24.39,25.239174
19.92,19.825287
25.32,24.550774
18.51,19.898973
17.31,20.101934
19.94,18.4645
15.06,19.88408
15.55,16.547615
15.51,16.121456
14.5,23.364485
20.9,19.052622
15.61,16.874062
20.89,21.190565
16.62,17.399384
15.35,16.134563
15.68,19.006012
16.85,16.380184
19.39,20.074116
15.39,15.480069
20.89,19.398952
16.44,16.529785
15.16,16.180195
17.39,16.019592
19.44,22.772362
15.86,17.337894
15.06,15.63166
16.9,18.609705
15.67,17.158722
18.4,17.788544
19.02,23.000286
15.67,19.199102
19.94,18.767738
19.08,19.591856
25.65,24.412514
19.28,20.049149
23.56,25.946041
17.52,16.647785
15.56,17.330952
17.61,16.160358
17.44,18.135235
17.69,17.438854
15.67,17.156569
24.66,22.472492
16.18,16.002188
15.7,18.621498
26.03,24.115173
15.48,16.213966
18.56,18.881512
20.67,16.700634
