Actual_Train,Predicted_Train
0.74,0.57208925
1.77,2.4113996
1.89,2.4720402
1.52,1.8637544
1.21,1.4862678
0.84,0.66744083
5.19,4.6642346
1.42,1.1413062
0.82,0.9927996
0.78,0.79526615
3.84,1.4299307
1.91,1.0074646
0.56,0.9540588
0.71,0.48963344
1.42,1.4995666
1.18,1.4625237
2.13,1.4565191
2.99,1.7625978
0.71,0.93888897
1.11,1.3518307
1.03,1.4954044
3.66,2.7339666
0.78,1.2565886
0.96,1.5205563
0.71,0.70682114
2.19,1.5041215
1.52,1.216223
0.72,0.5631512
0.72,0.48597687
1.37,1.4803963
2.25,1.934628
1.08,0.77462095
0.82,1.0747888
1.75,2.474741
2.28,1.3913664
0.85,0.9024932
3.13,1.528818
3.07,2.9276333
0.91,0.69855696
1.25,2.1454315
1.15,1.4839543
5.56,4.345128
1.8,1.4678296
0.72,1.2950652
2.13,1.4565191
0.8,1.1864758
0.86,1.101141
0.87,0.9287178
0.7,1.8918693
1.85,1.4571657
0.83,1.022466
1.26,1.5606747
0.91,0.92000026
0.7,1.0533599
0.77,1.1968057
0.86,0.90047807
0.96,1.3567805
0.7,0.93120414
2.15,1.462734
0.85,1.103714
0.68,0.97243553
0.86,0.6530395
1.64,1.3982191
0.8,1.0279024
0.7,0.9512835
0.81,1.0128117
0.8,1.0258067
1.38,1.3409786
1.57,1.3478122
0.79,1.1888903
1.36,1.4016862
3.41,1.4324731
2.97,3.7315962
2.33,1.5085526
2.81,2.7925158
0.95,0.7958698
0.77,1.0663013
0.73,0.6650826
0.89,1.0326133
1.04,0.8891191
0.8,1.1168829
3.0,1.6710685
0.72,0.94560075
0.72,0.47842658
3.02,2.2883387
0.75,0.8261185
3.35,1.4774027
1.12,0.9234828
