Actual_Train,Predicted_Train
15.0,14.391738
24.39,21.083664
23.32,21.118874
18.44,18.740416
20.94,20.066526
16.78,15.082856
22.71,19.621016
20.66,16.23703
17.46,16.341887
16.72,15.523976
23.83,19.806623
19.28,17.73048
15.28,14.640004
15.49,15.582715
20.44,19.10801
19.39,17.12761
19.94,17.8989
19.88,18.341873
15.89,14.322114
19.15,16.830162
18.72,18.63611
23.04,19.61085
15.44,16.975739
18.69,18.404171
15.06,15.179529
20.58,18.500671
19.78,16.781343
15.0,14.304532
15.72,15.517586
20.67,19.608475
24.8,18.888046
18.41,15.107066
15.5,15.450463
24.61,21.07563
24.1,20.05231
17.89,15.167921
21.59,20.24449
25.37,21.530329
17.11,15.1820135
24.39,21.053211
19.92,19.754505
25.32,19.480583
18.51,18.523476
17.31,17.299696
19.94,17.8989
15.06,15.575366
15.55,15.485644
15.51,14.879578
14.5,19.041676
20.9,19.929077
15.61,14.291532
20.89,19.612923
16.62,15.664474
15.35,15.194629
15.68,15.255563
16.85,15.139804
19.39,17.167719
15.39,15.087723
20.89,19.263048
16.44,15.505723
15.16,14.662742
17.39,15.070932
19.44,18.481903
15.86,15.1716795
15.06,15.224557
16.9,14.731641
15.67,14.75686
18.4,17.995422
19.02,18.542515
15.67,16.66323
19.94,19.4258
19.08,18.093561
25.65,21.720621
19.28,19.480188
23.56,21.1292
17.52,14.751811
15.56,15.082856
17.61,15.033583
17.44,16.384558
17.69,15.748109
15.67,14.765803
24.66,18.9148
16.18,14.768716
15.7,15.668131
26.03,21.657303
15.48,14.967277
18.56,17.399076
20.67,15.014764
