Actual_Train,Predicted_Train
4.31,1.7810907
3.18,1.8155853
3.87,2.2097175
6.21,1.9814044
2.06,1.9974393
3.29,2.5719843
2.42,2.4359758
2.0,1.8144902
2.75,1.9498652
1.97,1.8415636
1.17,1.8921468
1.95,2.083816
1.12,1.7868468
1.28,1.8118213
1.23,1.8424137
1.92,1.5675688
1.36,1.762781
1.2,1.9991723
0.96,2.0232182
1.29,1.8968991
2.39,1.7441086
3.63,1.8683221
1.97,1.8201213
1.87,1.8489941
4.03,2.2534876
2.06,1.7404599
1.09,1.8478284
1.27,1.9840671
1.06,1.9720653
1.34,1.6306947
1.18,1.931344
1.87,1.7071171
2.87,2.016063
1.78,2.1108446
4.17,1.9919049
1.9,1.8009242
1.18,2.013806
1.77,1.7727083
2.63,1.7743415
6.82,2.29266
1.0,1.8282229
3.87,2.395288
2.54,2.0411258
3.78,1.9116395
1.11,1.8577937
1.04,1.983534
2.7,2.0662093
1.11,1.8584988
3.12,2.6456814
1.19,1.928753
1.18,1.808581
2.17,1.3987228
