Actual_Train,Predicted_Train
31.23,31.352167
30.27,31.262064
30.31,31.214348
27.51,30.026375
31.06,31.100372
26.88,27.660143
26.43,24.514952
30.45,31.74958
30.87,31.390581
31.72,31.396914
31.0,31.934175
26.19,23.220396
30.89,29.2466
31.06,29.387112
30.89,30.58313
30.94,28.871693
30.83,31.2655
30.0,30.123716
26.37,22.94319
27.61,29.572443
30.47,31.127794
30.76,31.761694
30.2,31.973314
31.75,32.238937
27.55,23.260984
30.39,31.36143
30.54,31.626738
30.89,30.424822
30.18,31.207008
31.27,29.308199
30.28,30.701128
30.72,28.84065
29.66,31.220001
25.53,23.177473
29.95,31.30082
31.47,28.62013
30.16,31.10172
32.81,31.591106
31.37,28.700655
26.43,23.180601
30.62,30.763094
27.42,23.883762
24.98,23.164635
29.42,30.14033
30.56,29.777866
30.22,31.044382
24.76,23.162033
30.81,29.44324
26.63,26.68495
30.17,30.717916
27.6,29.391169
31.32,26.212322
