Actual_Train,Predicted_Train
31.23,28.420832
30.27,28.223604
30.31,28.291922
27.51,27.640741
31.06,27.177794
26.88,26.572691
26.43,25.152143
30.45,28.495556
30.87,28.016684
31.72,27.967901
31.0,27.833597
26.19,22.033094
30.89,27.204195
31.06,27.646557
30.89,27.163958
30.94,27.270857
30.83,27.88665
30.0,27.83442
26.37,23.228666
27.61,27.479319
30.47,28.189054
30.76,27.891209
30.2,27.804394
31.75,28.738977
27.55,22.493418
30.39,28.73366
30.54,28.04877
30.89,27.998384
30.18,27.667603
31.27,27.850454
30.28,27.714983
30.72,28.15719
29.66,28.196806
25.53,22.233221
29.95,27.725151
31.47,27.414915
30.16,27.2726
32.81,28.764254
31.37,27.112547
26.43,22.894102
30.62,27.860394
27.42,24.070467
24.98,22.08087
29.42,27.670088
30.56,28.294962
30.22,27.336452
24.76,22.105099
30.81,27.878826
26.63,26.67216
30.17,27.644304
27.6,27.591486
31.32,27.378138
