Actual_Train,Predicted_Train
31.23,27.829813
30.27,26.816301
30.31,27.711563
27.51,25.268686
31.06,25.741856
26.88,22.052061
26.43,21.876778
30.45,27.942518
30.87,29.1798
31.72,27.660028
31.0,28.294401
26.19,23.35668
30.89,24.953886
31.06,23.219032
30.89,24.168974
30.94,25.058372
30.83,28.174154
30.0,25.493807
26.37,23.38432
27.61,26.098722
30.47,26.605356
30.76,26.98748
30.2,27.879915
31.75,28.016375
27.55,22.15767
30.39,27.708874
30.54,27.87644
30.89,25.638437
30.18,28.802938
31.27,25.581793
30.28,28.740849
30.72,25.658915
29.66,28.271223
25.53,23.247082
29.95,28.273464
31.47,23.672892
30.16,27.697119
32.81,27.923193
31.37,24.998365
26.43,22.32303
30.62,27.543558
27.42,21.960752
24.98,23.175146
29.42,27.020618
30.56,24.03242
30.22,28.954617
24.76,23.14414
30.81,23.331816
26.63,21.518347
30.17,28.751997
27.6,25.746237
31.32,22.87877
