Actual_Train,Predicted_Train
0.18,0.042838328
0.13,0.042870596
12.2,5.2688017
15.16,6.7527366
0.39,6.698511
19.83,8.415385
15.68,3.7390218
0.18,0.86291885
10.13,4.1951046
0.2,0.020803154
0.2,0.73427546
2.77,12.161775
0.21,3.8038611
0.21,2.3221326
0.21,1.7447017
0.21,5.282587
0.2,0.09813374
0.21,6.7175503
0.16,6.2335835
21.88,6.8246717
0.16,-0.0776691
0.16,0.033698596
0.18,0.5813989
0.21,2.3241591
8.68,8.875599
0.19,0.048368976
0.21,0.65098834
0.22,6.725335
0.2,3.789957
0.19,3.2922373
0.21,5.3559465
0.2,2.3969731
0.79,5.9993315
1.71,10.878154
5.33,6.093271
0.21,5.892862
0.2,6.4795103
0.19,0.11187653
0.21,6.1118965
1.28,7.16483
0.2,0.25052273
10.72,3.3102775
4.12,11.611069
1.96,6.5641737
0.2,2.3380613
0.2,4.376231
3.6,12.142406
0.21,1.2486273
18.35,9.060926
0.21,5.3472395
22.14,6.857255
0.21,5.1002593
