Actual_Train,Predicted_Train
11.33,12.686292
18.66,11.88891
9.67,7.6990404
15.97,8.091769
22.99,8.756998
54.84,23.594257
11.99,21.636377
21.2,10.393472
6.97,7.052514
10.26,11.0017605
8.68,9.489702
25.13,23.217785
15.49,14.153426
15.09,13.387975
11.89,13.07882
16.64,12.165538
9.94,12.108115
14.24,8.305507
19.59,24.46731
3.27,6.784375
3.07,10.37806
15.73,10.088476
18.33,10.521971
8.36,10.672587
18.05,20.59778
16.84,12.642299
16.09,9.176885
10.13,8.356462
9.64,7.4200087
10.99,9.560318
9.32,7.4353566
11.66,10.209292
5.34,7.851694
39.01,23.53475
9.42,7.263252
12.53,13.711545
13.25,8.235849
28.65,13.129733
18.0,14.2358675
17.3,20.816195
10.72,10.677657
18.37,21.759392
21.25,22.588654
11.7,7.0149508
10.88,11.875794
9.31,7.275367
37.23,22.707144
11.87,12.946109
30.34,22.754107
10.17,7.427807
3.25,6.3036685
18.8,12.591781
