Actual_Train,Predicted_Train
31.23,26.029505
30.27,25.730368
30.31,27.643808
27.51,26.81076
31.06,27.25303
26.88,24.18641
26.43,24.011839
30.45,26.945429
30.87,26.88957
31.72,27.203419
31.0,27.966496
26.19,20.506554
30.89,25.330915
31.06,25.696974
30.89,25.966227
30.94,24.928844
30.83,26.113401
30.0,26.505129
26.37,22.208975
27.61,26.99709
30.47,25.869759
30.76,25.959211
30.2,26.018423
31.75,26.749758
27.55,21.134274
30.39,26.144169
30.54,27.149708
30.89,26.937876
30.18,27.588474
31.27,25.876902
30.28,26.31024
30.72,25.468904
29.66,28.387362
25.53,20.813364
29.95,28.056921
31.47,23.262218
30.16,27.334106
32.81,26.90019
31.37,23.909767
26.43,21.826246
30.62,26.571806
27.42,23.653227
24.98,20.201935
29.42,27.037367
30.56,26.009985
30.22,27.40644
24.76,20.153645
30.81,25.69567
26.63,23.689161
30.17,26.32958
27.6,26.989872
31.32,24.010012
