Actual_Train,Predicted_Train
0.18,-0.22507495
0.13,-0.43452784
12.2,11.423809
15.16,15.3958645
0.39,1.6278173
19.83,20.183992
15.68,13.148053
0.18,-0.41807917
10.13,10.49081
0.2,-0.29553518
0.2,-0.21260777
2.77,0.9191395
0.21,0.9877507
0.21,1.0830243
0.21,2.4155781
0.21,-0.10825678
0.2,-0.21671703
0.21,7.3963346
0.16,0.44711563
21.88,19.244057
0.16,-0.43211612
0.16,-0.38038534
0.18,-0.4382253
0.21,-0.03862693
8.68,10.007889
0.19,-0.2540147
0.21,-0.5050027
0.22,7.1346526
0.2,3.1280074
0.19,0.25740057
0.21,4.3772817
0.2,-0.4038352
0.79,9.392851
1.71,1.9005088
5.33,12.903641
0.21,2.2345412
0.2,3.3448653
0.19,-0.25339016
0.21,0.75541335
1.28,10.503232
0.2,-0.31174836
10.72,11.158928
4.12,0.664765
1.96,15.265959
0.2,2.3467069
0.2,4.055542
3.6,0.61892265
0.21,1.6597505
18.35,19.355577
0.21,4.3758564
22.14,20.414997
0.21,0.8212966
