Actual_Train,Predicted_Train
31.23,29.660423
30.27,28.078543
30.31,28.374767
27.51,26.871067
31.06,27.852098
26.88,23.264196
26.43,22.921656
30.45,29.112078
30.87,28.369093
31.72,29.11859
31.0,29.33518
26.19,22.235312
30.89,26.30244
31.06,25.27627
30.89,26.324095
30.94,25.8968
30.83,29.49304
30.0,27.2405
26.37,22.187166
27.61,26.938864
30.47,28.22711
30.76,28.270235
30.2,28.661402
31.75,29.456568
27.55,22.632135
30.39,29.662046
30.54,28.943956
30.89,27.451605
30.18,28.722116
31.27,26.709936
30.28,28.95312
30.72,27.165632
29.66,28.504972
25.53,22.339956
29.95,28.267147
31.47,25.70806
30.16,28.035511
32.81,29.861364
31.37,25.57317
26.43,22.534836
30.62,29.130686
27.42,22.718676
24.98,22.289673
29.42,27.801134
30.56,26.77317
30.22,28.521402
24.76,22.225546
30.81,25.804296
26.63,23.127287
30.17,28.949633
27.6,26.935324
31.32,25.11677
