Actual_Train,Predicted_Train
11.33,13.891102
18.66,10.297147
9.67,7.309983
15.97,7.4283466
22.99,9.459673
54.84,27.111494
11.99,21.250635
21.2,11.075249
6.97,5.7054286
10.26,11.735403
8.68,8.524785
25.13,23.20646
15.49,14.007851
15.09,14.544065
11.89,15.551629
16.64,14.888611
9.94,13.005156
14.24,7.967072
19.59,21.48371
3.27,7.196817
3.07,7.8777966
15.73,10.656688
18.33,10.147464
8.36,10.080579
18.05,14.536832
16.84,14.301811
16.09,9.670242
10.13,8.083104
9.64,6.54748
10.99,10.762323
9.32,6.386476
11.66,9.534784
5.34,7.0151935
39.01,23.70115
9.42,6.9106126
12.53,14.069109
13.25,7.937038
28.65,14.7720375
18.0,16.792894
17.3,14.548077
10.72,11.459901
18.37,18.511955
21.25,21.406347
11.7,5.125088
10.88,12.669175
9.31,6.535355
37.23,22.169748
11.87,12.576296
30.34,25.239508
10.17,6.3943276
3.25,6.65651
18.8,14.592989
