Actual_Train,Predicted_Train
4.31,1.7317944
3.18,1.7463001
3.87,2.4031627
6.21,2.124881
2.06,1.7609959
3.29,3.0606656
2.42,3.0752528
2.0,1.5522187
2.75,2.2637048
1.97,1.4644186
1.17,1.4491526
1.95,1.8034627
1.12,1.6054666
1.28,1.1873773
1.23,1.420525
1.92,1.5470221
1.36,1.6611853
1.2,1.7871227
0.96,1.6090479
1.29,2.0645537
2.39,1.5331929
3.63,1.6566794
1.97,1.575189
1.87,1.6043866
4.03,3.3159533
2.06,1.5853741
1.09,1.2273327
1.27,1.825177
1.06,1.6640295
1.34,1.3876528
1.18,1.6656272
1.87,1.5541968
2.87,2.468305
1.78,1.76139
4.17,2.2579615
1.9,1.6254575
1.18,1.7588941
1.77,1.6710708
2.63,1.9835064
6.82,3.2996757
1.0,1.5654067
3.87,3.153686
2.54,1.763251
3.78,2.179142
1.11,1.4520297
1.04,1.6457155
2.7,1.770823
1.11,1.2595899
3.12,2.9648004
1.19,1.66037
1.18,2.0399365
2.17,1.630787
