Actual_Train,Predicted_Train
0.18,1.4538577
0.13,1.4723164
12.2,9.610391
15.16,11.750131
0.39,6.446857
19.83,15.190932
15.68,13.252017
0.18,3.173791
10.13,8.128768
0.2,3.139917
0.2,4.438085
2.77,2.6644485
0.21,5.8530784
0.21,6.3748584
0.21,5.8987947
0.21,6.5035577
0.2,1.4468944
0.21,9.013633
0.16,3.1505885
21.88,13.23248
0.16,2.8344996
0.16,3.7814765
0.18,2.4149547
0.21,2.7551336
8.68,9.77283
0.19,1.2399795
0.21,3.7952614
0.22,9.230386
0.2,7.088259
0.19,7.207928
0.21,7.681419
0.2,4.492522
0.79,8.773065
1.71,3.7073538
5.33,10.015322
0.21,7.7199025
0.2,7.029725
0.19,1.1757939
0.21,6.1088223
1.28,10.422133
0.2,1.8072836
10.72,12.009178
4.12,0.51683563
1.96,11.477954
0.2,5.8924146
0.2,7.2198577
3.6,0.476911
0.21,5.8303456
18.35,16.019133
0.21,7.681076
22.14,13.952947
0.21,7.367418
