Actual_Train,Predicted_Train
0.18,-0.38875234
0.13,-0.46801344
12.2,9.389925
15.16,10.624573
0.39,10.063303
19.83,9.720216
15.68,7.0963316
0.18,-0.2740267
10.13,6.2927094
0.2,-0.33385995
0.2,-0.07753567
2.77,1.0068487
0.21,0.56333625
0.21,-0.45901972
0.21,0.20215604
0.21,-0.07802967
0.2,-0.3800004
0.21,10.03432
0.16,1.2542032
21.88,10.469294
0.16,-0.4781068
0.16,-0.41468835
0.18,-0.42134744
0.21,0.062369846
8.68,6.1564527
0.19,-0.38508764
0.21,-0.10971324
0.22,9.94296
0.2,4.781996
0.19,-0.27365538
0.21,4.6253967
0.2,-0.16694924
0.79,9.20191
1.71,0.60580665
5.33,8.95229
0.21,0.9594044
0.2,9.870075
0.19,-0.37775612
0.21,1.0256099
1.28,6.132656
0.2,-0.31949753
10.72,6.692795
4.12,0.7474488
1.96,7.8378477
0.2,1.1133765
0.2,5.384109
3.6,0.69415164
0.21,-0.24864018
18.35,9.07048
0.21,4.6163387
22.14,10.444571
0.21,-0.23457825
