Actual_Train,Predicted_Train
11.33,14.461322
18.66,14.899871
9.67,7.960129
15.97,8.770967
22.99,8.183701
54.84,26.494724
11.99,25.070602
21.2,14.561832
6.97,8.768081
10.26,14.291694
8.68,12.759551
25.13,23.067875
15.49,16.529171
15.09,16.041336
11.89,14.959222
16.64,16.070831
9.94,14.511617
14.24,8.802491
19.59,19.80919
3.27,9.157349
3.07,13.688529
15.73,14.456592
18.33,15.344624
8.36,12.205527
18.05,19.981058
16.84,14.520423
16.09,12.570765
10.13,8.706418
9.64,8.771055
10.99,13.873638
9.32,8.905774
11.66,9.040596
5.34,7.6384797
39.01,21.973612
9.42,8.416441
12.53,15.013726
13.25,7.8170557
28.65,14.533607
18.0,19.666283
17.3,17.498089
10.72,13.909006
18.37,22.593468
21.25,21.275496
11.7,8.415175
10.88,9.405948
9.31,8.515059
37.23,22.27325
11.87,13.897521
30.34,26.025425
10.17,8.914296
3.25,9.407486
18.8,20.39688
