Actual_Train,Predicted_Train
31.23,27.61297
30.27,29.212456
30.31,28.254562
27.51,27.670406
31.06,27.776632
26.88,27.075449
26.43,24.753624
30.45,28.340933
30.87,28.02673
31.72,27.672863
31.0,27.903393
26.19,24.158543
30.89,29.009613
31.06,29.798267
30.89,29.877892
30.94,30.796413
30.83,27.71702
30.0,27.529541
26.37,24.303574
27.61,28.319683
30.47,28.286495
30.76,28.757252
30.2,28.34832
31.75,27.617256
27.55,24.241867
30.39,27.527283
30.54,28.553654
30.89,27.565649
30.18,27.841087
31.27,30.23586
30.28,27.54633
30.72,29.469746
29.66,27.919853
25.53,24.136274
29.95,27.536528
31.47,29.970606
30.16,27.803185
32.81,27.634876
31.37,30.407347
26.43,24.292446
30.62,28.000648
27.42,24.48607
24.98,24.30714
29.42,27.749527
30.56,30.508871
30.22,27.845081
24.76,24.275023
30.81,29.536755
26.63,26.437824
30.17,27.546919
27.6,28.7832
31.32,29.503853
