Actual_Train,Predicted_Train
4.31,1.5667068
3.18,1.3008361
3.87,2.3855097
6.21,2.6698275
2.06,2.531201
3.29,2.2666337
2.42,2.6000345
2.0,1.5235561
2.75,1.8437735
1.97,1.4270047
1.17,1.5546502
1.95,3.6937232
1.12,1.9877671
1.28,1.5940763
1.23,1.7876619
1.92,1.5119151
1.36,1.539965
1.2,2.6215446
0.96,3.1776745
1.29,2.491973
2.39,1.3288921
3.63,1.3446575
1.97,1.3631749
1.87,1.8240023
4.03,3.4736779
2.06,1.5624765
1.09,1.3985045
1.27,2.5925128
1.06,1.8113858
1.34,1.4628565
1.18,2.228935
1.87,1.4571463
2.87,2.2982948
1.78,3.636143
4.17,2.3470364
1.9,1.4044516
1.18,2.3703358
1.77,1.5498754
2.63,1.520401
6.82,3.3519242
1.0,1.4587115
3.87,2.9025357
2.54,3.7183743
3.78,2.6020057
1.11,1.815632
1.04,1.8909135
2.7,3.754594
1.11,1.7954832
3.12,2.237459
1.19,2.2288783
1.18,2.4275894
2.17,1.4041421
