Actual_Train,Predicted_Train
0.18,0.11446419
0.13,-0.012203705
12.2,4.2599125
15.16,5.4523606
0.39,2.7191746
19.83,12.36748
15.68,7.4208136
0.18,0.019955702
10.13,4.408798
0.2,0.1275851
0.2,0.08323324
2.77,1.7128823
0.21,2.379467
0.21,1.7818005
0.21,2.925733
0.21,3.3797858
0.2,0.10812844
0.21,4.0622473
0.16,0.9894639
21.88,11.384175
0.16,-0.011637345
0.16,0.06926446
0.18,0.053235687
0.21,0.14377147
8.68,7.119831
0.19,0.10757013
0.21,0.15589106
0.22,4.7583523
0.2,1.2252004
0.19,5.452219
0.21,1.3976259
0.2,1.1934366
0.79,3.6885283
1.71,1.4229648
5.33,4.7653885
0.21,9.481007
0.2,3.0965886
0.19,0.11954729
0.21,5.3804693
1.28,6.9849963
0.2,0.02831021
10.72,6.820633
4.12,1.1595672
1.96,10.731445
0.2,3.4510283
0.2,1.7929721
3.6,1.1303055
0.21,2.117424
18.35,11.9781885
0.21,1.4042041
22.14,16.063885
0.21,4.5636935
