Actual_Train,Predicted_Train
4.31,1.8613499
3.18,1.8183308
3.87,2.1131432
6.21,2.1561785
2.06,2.1710582
3.29,2.3661168
2.42,2.2692933
2.0,1.8765819
2.75,1.9631667
1.97,1.8182945
1.17,1.8280776
1.95,1.6838014
1.12,2.1617026
1.28,1.7960609
1.23,1.8953454
1.92,2.081336
1.36,1.8582706
1.2,2.1503224
0.96,1.6667736
1.29,2.173014
2.39,1.8216411
3.63,1.8261992
1.97,1.8653936
1.87,1.8884177
4.03,1.8943377
2.06,1.8334981
1.09,1.8406992
1.27,2.132617
1.06,1.9222102
1.34,1.982765
1.18,1.9928441
1.87,1.9843464
2.87,2.102273
1.78,1.7771834
4.17,2.0702538
1.9,2.0446455
1.18,2.0966015
1.77,1.8526219
2.63,2.1997466
6.82,1.9969931
1.0,1.9050684
3.87,2.1708841
2.54,1.6500912
3.78,2.0923722
1.11,1.907487
1.04,1.9450495
2.7,1.652632
1.11,1.8182805
3.12,2.399136
1.19,1.9930594
1.18,2.1839695
2.17,2.0681217
